ts_code,symbol,name,industry,list_date
600000.SH,600000,浦发银行,银行,19991110
600004.SH,600004,白云机场,机场,20030428
600006.SH,600006,东风股份,汽车整车,19990727
600007.SH,600007,中国国贸,园区开发,19990312
600008.SH,600008,首创环保,水务,20000427
600009.SH,600009,上海机场,机场,19980218
600010.SH,600010,包钢股份,普钢,20010309
600011.SH,600011,华能国际,火力发电,20011206
600012.SH,600012,皖通高速,路桥,20030107
600015.SH,600015,华夏银行,银行,20030912
600016.SH,600016,民生银行,银行,20001219
600019.SH,600019,宝钢股份,普钢,20001212
600020.SH,600020,中原高速,路桥,20030808
600021.SH,600021,上海电力,火力发电,20031029
600026.SH,600026,中远海能,水运,20020523
600028.SH,600028,中国石化,石油加工,20010808
600029.SH,600029,南方航空,空运,20030725
600030.SH,600030,中信证券,证券,20030106
600031.SH,600031,三一重工,工程机械,20030703
600033.SH,600033,福建高速,路桥,20010209
600035.SH,600035,楚天高速,路桥,20040310
600036.SH,600036,招商银行,银行,20020409
600037.SH,600037,歌华有线,影视音像,20010208
600038.SH,600038,中直股份,航空,20001218
600039.SH,600039,四川路桥,建筑工程,20030325
600050.SH,600050,中国联通,电信运营,20021009
600051.SH,600051,宁波联合,综合类,19970410
600052.SH,600052,东望时代,供气供热,19970415
600053.SH,600053,九鼎投资,多元金融,19970418
600054.SH,600054,黄山旅游,旅游景点,19970506
600055.SH,600055,万东医疗,医疗保健,19970519
600056.SH,600056,中国医药,医药商业,19970515
600057.SH,600057,厦门象屿,仓储物流,19970604
600058.SH,600058,五矿发展,商贸代理,19970528
600059.SH,600059,古越龙山,红黄酒,19970516
600060.SH,600060,海信视像,家用电器,19970422
600061.SH,600061,国投资本,证券,19970519
600062.SH,600062,华润双鹤,化学制药,19970522
600063.SH,600063,皖维高新,化纤,19970528
600064.SH,600064,南京高科,园区开发,19970506
600066.SH,600066,宇通客车,汽车整车,19970508
600067.SH,600067,冠城新材,电气设备,19970508
600071.SH,600071,凤凰光学,元器件,19970528
600072.SH,600072,中船科技,电气设备,19970603
600073.SH,600073,光明肉业,食品,19970704
600075.SH,600075,新疆天业,化工原料,19970617
600076.SH,600076,康欣新材,广告包装,19970526
600078.SH,600078,澄星股份,化工原料,19970627
